"名称","住所","ID","住所1","住所2","住所3","電話","FAX","利用時間","階数","定休日","駐車場","敷地内の状況および施設入口","誘導施設","案内設備","昇降設備","トイレ","公衆電話","その他の設備","備考","カテゴリー","分類"
"医療法人了生会中村病院","和歌山市友田町２丁目32","BA555101","和歌山県","和歌山市","友田町２丁目32","073-431-0351","073-431-8715","外来9:00～12:00、16:00～19:00<br>見舞15:00～20:00","地上６階、地下１階","土曜午後、日、祝日","◎一般駐車場　有り：２０台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤）","◎障害者（車椅子）用便所　有り：３箇所（１Ｆ、２Ｆ、４Ｆ）<br>◎洋式大便所　有り：４箇所<br>◎手すり付便所　有り：３箇所","◎車椅子用電話　有り：１箇所","◎車椅子の常備　有り：１０台","","医療施設","医療施設"
"医療法人　郷の会　紀の郷病院","伊都郡九度山町九度山113-6","BA555791","和歌山県","伊都郡九度山町","九度山113-6","0736-54-2288","0736-54-4816","9:00～17:30","地上３階","土、日、祝日、12/29～1/4","◎一般駐車場　有り：５４台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り","◎洋式大便所　有り：３箇所<br>◎手すり付便所　有り：１箇所","","◎車椅子の常備　有り：４台","","医療施設","医療施設"
"高野町立高野山病院","伊都郡高野町高野山631","BA555792","和歌山県","伊都郡高野町","高野山631","0736-56-2911","0736-56-2912","24時間","地上２階","土、日、祝日","◎一般駐車場　有り：１５台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り","◎洋式大便所　有り：２箇所<br>◎手すり付便所　有り：８箇所","◎車椅子用電話　有り：２箇所","◎車椅子の常備　有り：４台<br>◎車椅子等に配慮した便所、浴室を完備した居室　有り：３室","","医療施設","医療施設"
"角谷整形外科病院","和歌山市吉田337","BA555102","和歌山県","和歌山市","吉田337","073-433-1161","073-432-6054","外来8:30～13:00、16:00～19:00<br>見舞9:00～21:00","地上７階","日、祝日（外来）","◎一般駐車場　有り：１００台","◎自動ドア　有り","","◎一般案内　有り<br>◎手話による案内　有り","◎一般用エレベーター　有り","◎障害者（車椅子）用便所　有り：１箇所（１Ｆ）<br>◎洋式大便所　有り：５箇所<br>◎手すり付便所　有り：５箇所","◎難聴者用電話　有り：１箇所","◎車椅子の常備　有り：１５台","","医療施設","医療施設"
"誠佑記念病院","和歌山市西田井391","BA555103","和歌山県","和歌山市","西田井391","073-464-2655","","（診察時間）9:00～12:30、17:00～19:00","地上４階","日、祝日","◎一般駐車場　有り：１１０台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤）","◎障害者（車椅子）用便所　有り：３箇所<br>◎洋式大便所　有り：１１箇所<br>◎手すり付便所　有り：５箇所","","◎車椅子の常備　有り：２台","","医療施設","医療施設"
"和歌山生協病院","和歌山市有本143-1","BA586953","和歌山県","和歌山市","有本143-1","073-471-7711","","9:00～20:30","地上５階","なし","◎一般駐車場　有り：３００台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","◎障害者用エレベーター　有り（点字表示・音声案内）","◎障害者（車椅子）用便所　有り：８箇所<br>◎洋式大便所　有り：４０箇所<br>◎手すり付便所　有り：５箇所","◎車椅子用電話　有り","◎車椅子の常備　有り：５２台","","医療施設","医療施設"
"向陽病院","和歌山市津秦40","BA555105","和歌山県","和歌山市","津秦40","073-474-2000","073-474-1880","9:00～12:00、14:00～17:00、17:00～19:00","地上５階","年中無休","◎一般駐車場　有り：８０台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示）","◎障害者（車椅子）用便所　有り：５箇所（１階～５階）<br>◎洋式大便所　有り：５箇所<br>◎手すり付便所　有り：５箇所","","◎車椅子の常備　有り：多数","","医療施設","医療施設"
"医療法人甃友会在宅総合ケアセンター","和歌山市秋月宮ノ前535-2","BA555106","和歌山県","和歌山市","秋月宮ノ前535-2","073-474-3511","073-474-3512","10:00～16:00","地上３階","土、日","◎一般駐車場　有り：３台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：２箇所（１階、２階）<br>◎洋式大便所　有り：５箇所<br>◎手すり付便所　有り：６箇所","","◎車椅子の常備　有り：１台<br>◎車椅子用の浴室　有り","","医療施設","医療施設"
"医療法人甃友会","和歌山市秋月宮ノ前535-2、3","BA555107","和歌山県","和歌山市","秋月宮ノ前535-2、3","073-474-3511","073-474-3512","終日","地上３階","無休","◎一般駐車場　有り：９台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示）","◎障害者（車椅子）用便所　有り：２箇所（ホール）<br>◎洋式大便所　有り：１１箇所<br>◎手すり付便所　有り：１１箇所","","◎車椅子の常備　有り：１０台<br>◎車椅子用の浴室　有り<br>◎車椅子等に配慮した便所、浴室を完備した居室　有り：７室","","医療施設","医療施設"
"愛晋会中江病院","和歌山市船所30-1","BA555108","和歌山県","和歌山市","船所30-1","073-451-0222","073-455-9788","8:45～12:00、16:30～18:30","地上４階、地下１階","日曜、祝日","◎一般駐車場　有り：２００台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示）","◎障害者（車椅子）用便所　有り：７箇所（１Ｆ、２Ｆ）<br>◎洋式大便所　有り：９箇所<br>◎手すり付便所　有り：９箇所","◎車椅子用電話　有り：５箇所","◎車椅子の常備　有り：２台","◎介護人等により対応ができる。","医療施設","医療施設"
"良友会西和歌山病院","和歌山市土入176","BA555109","和歌山県","和歌山市","土入176","073-452-1233","073-452-1040","8:45～19:00<br>土曜は9:00～12:00","地上４階","日曜、祝日、土曜午後","◎一般駐車場　有り：８０台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り","◎障害者（車椅子）用便所　有り：１箇所（２Ｆ）<br>◎洋式大便所　有り：６箇所<br>◎手すり付便所　有り：１箇所","","◎車椅子の常備　有り：４台","◎障害者用エレベーターとしては設置していないが、一般エレベーターで対応可。","医療施設","医療施設"
"和歌山労災病院","和歌山市古屋435","BA555110","和歌山県","和歌山市","古屋435","073-451-3181","073-452-7171","","地上５階、地下１階","土、日、祝日","◎一般駐車場　有り：３８０台<br>◎障害者用駐車場　有り：１２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤）","◎障害者（車椅子）用便所　有り：６箇所<br>◎洋式大便所　有り：２０箇所<br>◎手すり付便所　有り：１１箇所","◎車椅子用電話　有り：９箇所","◎授乳室　有り：１室（１階）<br>◎車椅子の常備　有り：２５台<br>◎キャッシュコーナー　有り","◎車イス用トイレは、１階・２階・３階・４階・５階。<br>◎障害者等が来院してもボランティア等の介護人により対応できる。<br>◎おむつ替えができる場所は１階。","医療施設","医療施設"
"綜愛苑","和歌山市西庄字岩ノ谷1107-45","BA555111","和歌山県","和歌山市","西庄字岩ノ谷1107-45","073-454-2940","073-452-2940","24時間","地上３階","なし","◎一般駐車場　有り：３０台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・音声案内）","◎障害者（車椅子）用便所　有り：３箇所（各階）<br>◎洋式大便所　有り：１１箇所<br>◎手すり付便所　有り：２７箇所","◎難聴者用電話　有り：１箇所","◎車椅子の常備　有り：４台<br>◎車椅子用の浴室　有り<br>◎車椅子等に配慮した便所、浴室を完備した居室　有り：１室","","医療施設","医療施設"
"琴の浦リハビリテーションセンター","和歌山市毛見1451","BA555112","和歌山県","和歌山市","毛見1451","073-444-3141","073-444-9792","8:30～17:15","地上３階","土、日、祝日","◎一般駐車場　有り：１００台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤）","◎障害者（車椅子）用便所　有り：１２箇所（一般便所内にそれぞれ　有り）<br>◎洋式大便所　有り：１２箇所<br>◎手すり付便所　有り：１２箇所","◎車椅子用電話　有り：６箇所","◎車椅子の常備　有り：５０台<br>◎キャッシュコーナー　有り","◎介護が必要な場合、職員が対応する。","医療施設","医療施設"
"介護老人保健施設　ラ・エスペランサ","和歌山市中島192","BA555113","和歌山県","和歌山市","中島192","073-427-0027","","","地上５階","","◎一般駐車場　有り：３０台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤、点字表示）","◎障害者（車椅子）用便所　有り：２５箇所（便所内に有り）<br>◎洋式大便所　有り：１９箇所<br>◎手すり付便所　有り：３１箇所","","◎車椅子の常備　有り：１台（玄関風除室内）","◎介護が必要な場合、職員が対応する。","医療施設","医療施設"
"曙会和歌浦中央病院","和歌山市塩屋６丁目2-70","BA555114","和歌山県","和歌山市","塩屋６丁目2-70","073-444-1600","073-441-3101","8:30～12:00　16:30～19:00","地上４階","日、祝日、土曜午後","◎一般駐車場　有り：１００台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り","◎一般用エレベーター　有り（音声案内）<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：８箇所<br>◎洋式大便所　有り：９箇所<br>◎手すり付便所　有り：３箇所","","◎車椅子の常備　有り：１０台","◎介護が必要な場合、職員が対応する。","医療施設","医療施設"
"半羽胃腸病院","和歌山市堀止南ノ庁4-11","BA555115","和歌山県","和歌山市","堀止南ノ庁4-11","073-436-3933","073-436-5711","8:30～19:00","地上４階","日、祝日","◎一般駐車場　有り：２５台<br>◎障害者用駐車場　有り：４台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り<br>◎点字案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤）","◎障害者（車椅子）用便所　有り：２箇所（一般トイレの中に有り）<br>◎洋式大便所　有り：３箇所<br>◎手すり付便所　有り：３箇所","◎車椅子用電話　有り：３箇所","◎車椅子の常備　有り：５台","◎介護が必要な場合、職員が対応する。","医療施設","医療施設"
"南保健センター","和歌山市和歌浦東１丁目１-３","BA555116","和歌山県","和歌山市","和歌浦東１丁目１-３","073-447-0310","","8:30～17:15","地上３階","土曜、日曜、祝日","◎一般駐車場　有り：１３台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","◎一般用エレベーター　有り","◎障害者（車椅子）用便所　有り：１箇所","","","","医療施設","医療施設"
"紀三井寺苑","和歌山市紀三井寺560-2","BA555117","和歌山県","和歌山市","紀三井寺560-2","073-448-2255","073-446-0120","終日","地上３階","無休","◎一般駐車場　有り：４０台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：６箇所（廊下）<br>◎洋式大便所　有り：１８箇所<br>◎手すり付便所　有り：３６箇所","◎車椅子用電話　有り：１箇所","◎車椅子の常備　有り：１５台<br>◎車椅子用の浴室　有り","","医療施設","医療施設"
"和歌山県立医科大学附属病院","和歌山市紀三井寺811-1","BA555118","和歌山県","和歌山市","紀三井寺811-1","073-447-2300","","24時間","地上１３階、地下１階","土日祝日","◎一般駐車場　有り：７０７台<br>◎障害者用駐車場　有り：２０台（７０７台の内）","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り<br>◎他の誘導設備：音声と手話画面による案内モニター","◎一般案内　有り<br>◎手話による案内　有り<br>◎点字による案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：３３箇所<br>◎洋式大便所　有り：３０５箇所<br>◎手すり付便所　有り：３３箇所","◎車椅子用電話　有り：３６箇所","◎車椅子の常備　有り：２２台（玄関横）<br>◎授乳室　有り：２室（２階、３階）<br>◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","◎入口に、案内していただくボランティアの方がおります。","医療施設","医療施設"
"済生会有田病院","有田郡湯浅町吉川52-6","BA555891","和歌山県","有田郡湯浅町","吉川52-6","0737-63-5561","0737-62-3420","9:00～17:00","地上５階、地下１階","日、祝日、第一土、12/29～1/3","◎一般駐車場　有り：１５０台<br>◎障害者用駐車場　有り：８台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤）","◎障害者（車椅子）用便所　有り：４箇所（１、３、４、５階）<br>◎洋式大便所　有り：１０箇所<br>◎手すり付便所　有り：３６箇所","◎車椅子用電話　有り：７箇所","◎車椅子の常備　有り：３０台<br>◎キャッシュコーナー　有り<br>◎車椅子用の浴室　有り","◎駐車場より病院玄関救急入口までスロープ。<br>◎車イスを30台設置、身障者用浴槽がある。","医療施設","医療施設"
"湯浅診療所、湯浅隣保館","有田郡湯浅町湯浅2718-1","BA555892","和歌山県","有田郡湯浅町","湯浅2718-1","0737-63-5702(診療所)、0737-63-6499(隣保館)","","8:45～17:30","地上２階","土、日、祝日","","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤）","◎障害者（車椅子）用便所　有り：２箇所（１階・２階共）","","","","医療施設","医療施設"
"有田南病院","有田郡有田川町小島15","BA555894","和歌山県","有田郡有田川町","小島15","0737-52-3730","0737-52-6860","24時間","地上５階","なし（救急病院に付）","◎一般駐車場　有り：５４台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤）","◎障害者（車椅子）用便所　有り：３箇所（１階・２階・３階）<br>◎洋式大便所　有り：全て<br>◎手すり付便所　有り：全て","","◎車椅子の常備　有り：１０台（各階）","◎別館にはデイサービスセンター併設、別館エレベーターには、点字、音声案内付エレベーターを設置。<br>◎それとは別に在宅介護支援センターきび訪問看護ステーションを併設。","医療施設","医療施設"
"西岡病院","有田郡有田川町小島278-1","BA555895","和歌山県","有田郡有田川町","小島278-1","0737-52-6188","0737-52-6091","24時間","地上４階","なし（救急病院に付）","◎一般駐車場　有り：８０台<br>◎障害者用駐車場　有り：５台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎他の誘導設備：インターホン","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り","◎障害者（車椅子）用便所　有り：３箇所（１階・２階・３階）<br>◎洋式大便所　有り：各階<br>◎手すり付便所　有り：各階","","◎車椅子の常備　有り：５０台<br>◎車椅子用の浴室　有り","◎外来玄関に段差があるが、介護人などによる対応。","医療施設","医療施設"
"みのりクリニック","有田郡有田川町吉原908","BA555896","和歌山県","有田郡有田川町","吉原908","0737-32-2512","0737-32-4128","9:00～12:00、16:00～19:00","地上２階","木午後、土、日、祝祭日","◎一般駐車場　有り：１０台","◎自動ドア　有り","","◎一般案内　有り","","◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","◎車椅子の常備　有り：２台","","医療施設","医療施設"
"恵友病院","海南市船尾264-2","BA555395","和歌山県","海南市","船尾264-2","073-483-1033","073-483-1855","9:00～19:00","地上６階","日曜日・祝祭日・土曜午後","◎一般駐車場　有り：２６台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り","◎障害者（車椅子）用便所　有り：１箇所（２階）<br>◎洋式大便所　有り：３箇所<br>◎手すり付便所　有り：７箇所","◎車椅子用電話　有り：１箇所","◎車椅子の常備　有り：３台","","医療施設","医療施設"
"海南市民病院","海南市日方1272-3","BA555396","和歌山県","海南市","日方1272-3","073-482-4521","073-482-9551","8:30～17:15","地上４階","日、祝日、年末年始","◎一般駐車場　有り：５６台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：２箇所（１階・２階）<br>◎洋式大便所　有り：２０箇所<br>◎手すり付便所　有り：３０箇所","","◎車椅子の常備　有り：６台<br>◎キャッシュコーナー　有り","","医療施設","医療施設"
"天竹会竹中整形外科","海南市重根11-1","BA555398","和歌山県","海南市","重根11-1","073-487-4171","073-487-5134","９:00～18:30","地上３階","日、祝日","◎一般駐車場　有り：４０台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り","◎障害者（車椅子）用便所　有り：１箇所（２階）<br>◎洋式大便所　有り：３箇所<br>◎手すり付便所　有り：１箇所","◎車椅子用電話　有り：２箇所","◎車椅子の常備　有り：６台<br>◎車椅子用の浴室　有り<br>◎車椅子等に配慮した便所、浴室を完備した居室　有り：２室","","医療施設","医療施設"
"辻秀輝整形外科","海南市名高178-1","BA555399","和歌山県","海南市","名高178-1","073-483-3131","073-482-6090","24時間","地上４階","土、日、祝日","◎一般駐車場　有り：７３台<br>◎障害者用駐車場　有り：５台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：１２箇所<br>◎手すり付便所　有り：１０箇所","◎車椅子用電話　有り：２箇所","◎車椅子の常備　有り：５台<br>◎車椅子用の浴室　有り<br>◎車椅子等に配慮した便所、浴室を完備した居室　有り：１室","◎救急告示医療施設<br>◎辻秀輝整形外科ホームページアドレスhttp://www.cypress.ne.jp/tsuji-h/<br>◎お見舞メールアドレス有り（ホームページ内）","医療施設","医療施設"
"同仁会辻整形外科","海南市築地1-50","BA555400","和歌山県","海南市","築地1-50","073-483-1234","073-483-0221","9:00～19:00（診療）","地上３階","日、祝日","◎一般駐車場　有り","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り","◎洋式大便所　有り：４箇所<br>◎手すり付便所　有り：５箇所","","◎車椅子の常備　有り：２台","","医療施設","医療施設"
"海南保健所（海草福祉事務所）","海南市大野中939","BA555401","和歌山県","海南市","大野中939","073-482-0600","073-482-3786","9:00～17:45","地上２階","土、日、祝日","◎一般駐車場　有り：５０台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り<br>◎他の誘導設備：手すり","◎一般案内　有り<br>◎手話による案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示）","◎障害者（車椅子）用便所　有り：２箇所<br>◎洋式大便所　有り：２箇所<br>◎手すり付便所　有り：２箇所","◎車椅子用電話　有り：１箇所","◎授乳室　有り：１室（乳幼児測定室）<br>◎車椅子の常備　有り","","医療施設","医療施設"
"医療法人琴仁会石本病院","海南市船尾365","BA555402","和歌山県","海南市","船尾365","073-482-5063","073-482-5408","9:00～19:00","地上４階","日、祝日、年末年始","◎一般駐車場　有り：５０台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：４箇所（各階）<br>◎洋式大便所　有り<br>◎手すり付便所　有り：２０箇所","◎車椅子用電話　有り：３箇所","◎車椅子の常備　有り：１０台","◎全館バリアフリーです。","医療施設","医療施設"
"南労会紀和病院","橋本市神野々1103","BA555404","和歌山県","橋本市","神野々1103","0736-34-1255","0736-34-2614","診9:00～12:0017:00～19:30","地上５階","土、日、祝日、12/30～1/3","◎一般駐車場　有り：２０台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤）","◎障害者（車椅子）用便所　有り：１箇所（１階）<br>◎洋式大便所　有り：１０箇所<br>◎手すり付便所　有り：５箇所","◎車椅子用電話　有り：４箇所","◎車椅子の常備　有り：１０台<br>◎車椅子用の浴室　有り","","医療施設","医療施設"
"岡田整形外科","橋本市市脇１丁目45-2","BA555405","和歌山県","橋本市","市脇１丁目45-2","0736-32-8080","0736-32-8082","9:00～12:0016:00～19:00","地上３階","日曜、12/30～1/5","◎一般駐車場　有り","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：２箇所<br>◎手すり付便所　有り：４箇所","◎車椅子用電話　有り：２箇所","◎車椅子の常備　有り：５台<br>◎車椅子用の浴室　有り<br>◎車椅子等に配慮した便所、浴室を完備した居室　有り：６室","","医療施設","医療施設"
"博寿会山本内科病院","橋本市東家6丁目7-26","BA555406","和歌山県","橋本市","東家6丁目7-26","0736-32-8899","0736-34-2738","9:15～19:00","地上３階","土、日、祝日、12/30～1/3","◎一般駐車場　有り：１０台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤）","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：６箇所<br>◎手すり付便所　有り：９箇所","◎車椅子用電話　有り：４箇所","◎車椅子の常備　有り：８台<br>◎車椅子用の浴室　有り","","医療施設","医療施設"
"老人保健施設メディケア橋本","橋本市神野々877-1外6筆","BA555407","和歌山県","橋本市","神野々877-1外6筆","0736-34-0187","0736-39-1155","24時間","地上３階","","◎一般駐車場　有り：６５台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：２８箇所（1,2,3階廊下横）<br>◎洋式大便所　有り：１５箇所<br>◎手すり付便所　有り：４８箇所","◎車椅子用電話　有り：３箇所","◎車椅子の常備　有り：３台<br>◎車椅子用の浴室　有り<br>◎車椅子等に配慮した便所、浴室を完備した居室　有り：４４室","◎２階、各室に車椅子用トイレ：２２箇所","医療施設","医療施設"
"有田市立病院","有田市宮崎町6","BA555408","和歌山県","有田市","宮崎町6","0737-82-2151","0737-82-4343","8:30～17:00（外来）","地上５階","日、祝日","◎一般駐車場　有り：２５０台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：５箇所（診察棟、入院棟、各階）<br>◎洋式大便所　有り：１０箇所<br>◎手すり付便所　有り：５５箇所","◎難聴者用電話　有り：２箇所","◎車椅子の常備　有り：８台","◎車椅子用公衆電話はないが、カウンター上に設置され、車イス利用者も使用可。","医療施設","医療施設"
"桜ヶ丘病院","有田市宮崎町841-1","BA555409","和歌山県","有田市","宮崎町841-1","0737-83-0078","0737-83-0079","9:00～12:00（外来）","地上３階","日、祝日","◎一般駐車場　有り：８０台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤）","本館病棟◎障害者（車椅子）用便所　有り：３箇所（各階病室）<br>◎洋式大便所　有り：８箇所<br>◎手すり付便所　有り：１５箇所<br><br>新館病棟◎障害者（車椅子）用便所　有り：３箇所（各階病室）<br>◎洋式大便所　有り：１４箇所<br>◎手すり付便所　有り：１２箇所","","◎車椅子の常備　有り：６５台他に歩行器８台","◎車椅子用公衆電話はないが、カウンター上に設置され、車イス利用者も使用可。","医療施設","医療施設"
"千田老人憩いの家","有田市千田1255","BA555410","和歌山県","有田市","千田1255","（区長宅0737-82-5548）","","9:00～19:00","地上２階","","","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（１階玄関ホール）<br>◎洋式大便所　有り：２箇所<br>◎手すり付便所　有り：１箇所","","◎車椅子の常備　有り：１台","◎駐車場は前面道路の反対側の須佐神社の駐車場を利用できます。その駐車場から当施設入口までは段差はありません。","医療施設","医療施設"
"砂浜会館デイサービスセンター","有田市初島町浜1769-1","BA555411","和歌山県","有田市","初島町浜1769-1","0737-82-3274","","9:00～16:00","地上１階","土・日・祭日","◎一般駐車場　有り：７台<br>◎障害者用駐車場　有り：１台","◎自動ドア　有り","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（１階ホール）<br>◎洋式大便所　有り：２箇所<br>◎手すり付便所　有り：２箇所","◎車椅子用電話　有り","◎車椅子の常備　有り：２台","","医療施設","医療施設"
"裕柴会中紀クリニック","御坊市藤田町吉田324-1","BA555412","和歌山県","御坊市","藤田町吉田324-1","0738-22-8777","0738-22-8777","24時間","地上１階","年中無休","◎一般駐車場　有り：３６台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所（１階）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","◎車椅子の常備　有り：１台","","医療施設","医療施設"
"特定・特別医療法人黎明会　北出病院","御坊市湯川町財部728-4","BA555413","和歌山県","御坊市","湯川町財部728-4","0738-22-2188","0738-22-2166","午前8:30～12:30　午後13:30～18:00（救急24時間）","地上３階","年中無休","◎一般駐車場　有り：１００台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り","◎障害者（車椅子）用便所　有り：１８箇所（１階）<br>◎洋式大便所　有り：２３箇所","","◎車椅子の常備　有り：９１台<br>◎車椅子用の浴室　有り","","医療施設","医療施設"
"国保日高総合病院","御坊市薗116-2","BA555414","和歌山県","御坊市","薗116-2","0738-22-1111","0738-24-1751","9:00～23:30（救急24時間）","地上８階、地下２階","日、祝日","◎一般駐車場　有り：１００台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：２箇所（１階・２階）<br>◎洋式大便所　有り：１５箇所<br>◎手すり付便所　有り：１５箇所","◎車椅子用電話　有り：１箇所","◎授乳室　有り：１室（７階（入院患者用））<br>◎車椅子の常備　有り：５台<br>◎キャッシュコーナー　有り<br>◎車椅子用の浴室　有り","◎障害者用エレベーターは設置していませんが、一般エレベーターに点字表示、低位置操作盤及び音声案内が設置されています。","医療施設","医療施設"
